log
🔹 Iniciando atendimento: Paciente_2
🔹 Iniciando atendimento: Paciente_13
🔹 Iniciando atendimento: Paciente_1
🔹 Iniciando atendimento: Paciente_9
🔹 Iniciando atendimento: Paciente_5
🔹 Iniciando atendimento: Paciente_11
🔹 Iniciando atendimento: Paciente_10
🔹 Iniciando atendimento: Paciente_50
🔹 Iniciando atendimento: Paciente_12
🔹 Iniciando atendimento: Paciente_6
🔹 Iniciando atendimento: Paciente_7
🔹 Iniciando atendimento: Paciente_3
🔹 Iniciando atendimento: Paciente_14
🔹 Iniciando atendimento: Paciente_32
🔹 Iniciando atendimento: Paciente_23
🔹 Iniciando atendimento: Paciente_8
🔹 Iniciando atendimento: Paciente_18
🔹 Iniciando atendimento: Paciente_33
🔹 Iniciando atendimento: Paciente_20
🔹 Iniciando atendimento: Paciente_4
🔹 Iniciando atendimento: Paciente_27
🔹 Iniciando atendimento: Paciente_15
🔹 Iniciando atendimento: Paciente_34
🔹 Iniciando atendimento: Paciente_19
🔹 Iniciando atendimento: Paciente_21
🔹 Iniciando atendimento: Paciente_28
🔹 Iniciando atendimento: Paciente_22
🔹 Iniciando atendimento: Paciente_30
🔹 Iniciando atendimento: Paciente_24
🔹 Iniciando atendimento: Paciente_16
🔹 Iniciando atendimento: Paciente_35
🔹 Iniciando atendimento: Paciente_17
🔹 Iniciando atendimento: Paciente_25
🔹 Iniciando atendimento: Paciente_31
🔹 Iniciando atendimento: Paciente_29
🔹 Iniciando atendimento: Paciente_26
🔹 Iniciando atendimento: Paciente_42
🔹 Iniciando atendimento: Paciente_38
🔹 Iniciando atendimento: Paciente_43
🔹 Iniciando atendimento: Paciente_44
🔹 Iniciando atendimento: Paciente_40
🔹 Iniciando atendimento: Paciente_39
🔹 Iniciando atendimento: Paciente_41
🔹 Iniciando atendimento: Paciente_47
🔹 Iniciando atendimento: Paciente_45
🔹 Iniciando atendimento: Paciente_36
🔹 Iniciando atendimento: Paciente_48
🔹 Iniciando atendimento: Paciente_49
🔹 Iniciando atendimento: Paciente_46
🔹 Iniciando atendimento: Paciente_37
✅ Concluído atendimento: Paciente_1
✅ Concluído atendimento: Paciente_13
✅ Concluído atendimento: Paciente_5
✅ Concluído atendimento: Paciente_11
✅ Concluído atendimento: Paciente_2
✅ Concluído atendimento: Paciente_7
✅ Concluído atendimento: Paciente_10
✅ Concluído atendimento: Paciente_50
✅ Concluído atendimento: Paciente_14
✅ Concluído atendimento: Paciente_32
✅ Concluído atendimento: Paciente_34
✅ Concluído atendimento: Paciente_22
✅ Concluído atendimento: Paciente_17
✅ Concluído atendimento: Paciente_29
✅ Concluído atendimento: Paciente_35
✅ Concluído atendimento: Paciente_26
✅ Concluído atendimento: Paciente_31
✅ Concluído atendimento: Paciente_23
✅ Concluído atendimento: Paciente_38
✅ Concluído atendimento: Paciente_28
✅ Concluído atendimento: Paciente_47
✅ Concluído atendimento: Paciente_8
✅ Concluído atendimento: Paciente_4
✅ Concluído atendimento: Paciente_41
✅ Concluído atendimento: Paciente_16
✅ Concluído atendimento: Paciente_43
✅ Concluído atendimento: Paciente_20
✅ Concluído atendimento: Paciente_19
✅ Concluído atendimento: Paciente_40
✅ Concluído atendimento: Paciente_44
✅ Concluído atendimento: Paciente_25
✅ Concluído atendimento: Paciente_46
✅ Concluído atendimento: Paciente_37
✅ Concluído atendimento: Paciente_49
✅ Concluído atendimento: Paciente_12
✅ Concluído atendimento: Paciente_9
✅ Concluído atendimento: Paciente_18
✅ Concluído atendimento: Paciente_3
✅ Concluído atendimento: Paciente_6
✅ Concluído atendimento: Paciente_36
✅ Concluído atendimento: Paciente_27
✅ Concluído atendimento: Paciente_24
✅ Concluído atendimento: Paciente_15
✅ Concluído atendimento: Paciente_39
✅ Concluído atendimento: Paciente_48
✅ Concluído atendimento: Paciente_30
✅ Concluído atendimento: Paciente_45
✅ Concluído atendimento: Paciente_33
✅ Concluído atendimento: Paciente_42
✅ Concluído atendimento: Paciente_21
